time_utc,util_pct,vram_mb
1788597111,69, 22753
1788597121,68, 22753
1788597132,69, 22753
1788597142,68, 22753
1788597152,67, 22753
1788597162,67, 22753
1788597172,66, 22753
1788597182,65, 22753
1788597192,67, 22753
1788597202,64, 22753
1788597212,66, 22753
1788597222,88, 22753
1788597232,69, 22753
1788597242,70, 22753
1788597252,69, 22753
1788597263,68, 22753
1788597273,68, 22753
1788597283,67, 22753
1788597293,67, 22753
1788597303,65, 22753
1788597313,65, 22753
1788597323,65, 22753
1788597333,69, 22753
1788597343,77, 22753
1788597353,69, 22753
1788597363,68, 22753
1788597373,68, 22753
1788597384,68, 22753
1788597394,67, 22753
1788597404,67, 22753
1788597414,66, 22753
1788597424,66, 22753
1788597434,67, 22753
1788597444,66, 22753
1788597454,45, 22753
1788597464,70, 22753
1788597474,69, 22753
1788597484,68, 22753
1788597494,69, 22753
1788597505,68, 22753
1788597515,63, 22753
1788597525,66, 22753
1788597535,66, 22753
1788597545,66, 22753
1788597555,64, 22753
1788597565,65, 22753
1788597575,52, 22753
1788597585,71, 22753
1788597595,70, 22753
1788597605,71, 22753
1788597615,65, 22753
1788597625,65, 22753
1788597636,68, 22753
1788597646,68, 22753
1788597656,56, 22753
1788597666,67, 22753
1788597676,65, 22753
1788597686,65, 22753
1788597696,59, 22753
1788597706,71, 22753
1788597716,68, 22753
1788597726,70, 22753
1788597736,70, 22753
1788597747,69, 22753
1788597757,70, 22753
1788597767,66, 22753
1788597777,68, 22753
1788597787,67, 22753
1788597797,66, 22753
1788597807,66, 22753
1788597817,65, 22753
1788597827,64, 22753
1788597837,52, 22753
1788597847,71, 22753
1788597857,69, 22753
1788597868,70, 22753
1788597878,69, 22753
1788597888,69, 22753
1788597898,69, 22753
1788597908,65, 22753
1788597918,68, 22753
1788597928,68, 22753
1788597938,65, 22753
1788597948,65, 22753
1788597958,64, 22753
1788597968,64, 22753
1788597978,55, 22753
1788597989,70, 22753
1788597999,69, 22753
1788598009,70, 22753
1788598019,69, 22753
1788598029,66, 22753
1788598039,69, 22753
1788598049,65, 22753
1788598059,67, 22753
1788598069,67, 22753
1788598079,65, 22753
1788598089,65, 22753
1788598099,64, 22753
1788598110,45, 22753
1788598120,71, 22753
1788598130,70, 22753
1788598140,70, 22753
1788598150,69, 22753
1788598160,69, 22753
1788598170,67, 22753
1788598180,67, 22753
1788598190,67, 22753
1788598200,68, 22753
1788598210,66, 22753
1788598220,65, 22753
1788598230,65, 22753
1788598240,63, 22753
1788598251,84, 22753
1788598261,70, 22753
1788598271,69, 22753
1788598281,68, 22753
1788598291,68, 22753
1788598301,67, 22753
1788598311,68, 22753
1788598321,68, 22753
1788598331,69, 22753
1788598341,67, 22753
1788598351,66, 22753
1788598362,65, 22753
1788598372,63, 22753
1788598382,66, 22753
1788598392,70, 22753
1788598402,69, 22753
1788598412,70, 22753
1788598422,69, 22753
1788598432,69, 22753
1788598442,70, 22753
1788598452,68, 22753
1788598462,65, 22753
1788598472,67, 22753
1788598483,65, 22753
1788598493,64, 22753
1788598503,64, 22753
1788598513,88, 22753
1788598523,70, 22753
1788598533,69, 22753
1788598543,70, 22753
1788598553,68, 22753
1788598563,68, 22753
1788598573,68, 22753
1788598583,68, 22753
1788598593,67, 22753
1788598604,69, 22753
1788598614,64, 22753
1788598624,64, 22753
1788598634,40, 22753
1788598644,71, 22753
1788598654,71, 22753
1788598664,69, 22753
1788598674,71, 22753
1788598684,69, 22753
1788598694,68, 22753
1788598704,67, 22753
1788598715,67, 22753
1788598725,67, 22753
1788598735,66, 22753
1788598745,66, 22753
1788598755,64, 22753
1788598765,67, 22753
1788598775,71, 22753
1788598785,70, 22753
1788598795,70, 22753
1788598805,70, 22753
1788598815,68, 22753
1788598825,68, 22753
1788598835,68, 22753
1788598845,68, 22753
1788598856,67, 22753
1788598866,65, 22753
1788598876,65, 22753
1788598886,60, 22753
1788598896,88, 22753
1788598906,66, 22753
1788598916,70, 22753
1788598926,69, 22753
1788598936,69, 22753
1788598946,68, 22753
1788598956,67, 22753
1788598966,69, 22753
1788598976,65, 22753
1788598987,65, 22753
1788598997,67, 22753
1788599007,56, 22753
1788599017,70, 22753
1788599027,70, 22753
1788599037,69, 22753
1788599047,69, 22753
1788599057,71, 22753
1788599067,69, 22753
1788599077,69, 22753
1788599087,71, 22753
1788599097,66, 23201
1788599108,65, 23201
1788599118,64, 23201
1788599128,64, 23201
1788599138,59, 23201
1788599148,71, 23201
1788599158,72, 23201
1788599168,69, 23201
1788599178,66, 23201
1788599188,69, 23201
1788599198,68, 23201
1788599208,64, 23201
1788599219,67, 23201
1788599229,67, 23201
1788599239,65, 23201
1788599249,65, 23201
1788599259,0, 23201
1788599269,71, 23201
1788599279,68, 23201
1788599289,69, 23201
1788599299,70, 23201
1788599309,69, 23201
1788599319,70, 23201
1788599330,68, 23201
1788599340,68, 23201
1788599350,66, 23201
1788599360,66, 23201
1788599370,65, 23201
1788599380,66, 23201
1788599390,62, 23201
1788599400,60, 23201
1788599410,69, 23201
1788599420,69, 23201
1788599430,66, 23201
1788599440,70, 23201
1788599450,69, 23201
1788599461,68, 23201
1788599471,68, 23201
1788599481,67, 23201
1788599491,65, 23201
1788599501,66, 23201
1788599511,64, 23201
1788599521,55, 23201
1788599531,71, 23201
1788599541,69, 23201
1788599551,71, 23201
1788599561,70, 23201
1788599572,68, 23201
1788599582,69, 23201
1788599592,67, 23201
1788599602,69, 23201
1788599612,67, 23201
1788599622,63, 23201
1788599632,65, 23201
1788599642,67, 23201
1788599652,64, 23201
1788599662,57, 23201
1788599672,70, 23201
1788599682,70, 23201
1788599692,69, 23201
1788599703,69, 23201
1788599713,70, 23201
1788599723,68, 23201
1788599733,68, 23201
1788599743,68, 23201
1788599753,66, 23201
1788599763,66, 23201
1788599773,64, 23201
1788599783,63, 23201
1788599793,64, 23201
1788599803,71, 23201
1788599813,71, 23201
1788599824,70, 23201
1788599834,69, 23201
1788599844,69, 23201
1788599854,68, 23201
1788599864,65, 23201
1788599874,69, 23201
1788599884,67, 23201
1788599894,66, 23201
1788599904,65, 23201
1788599914,63, 23201
1788599924,51, 23201
1788599934,71, 23201
1788599945,70, 23201
1788599955,70, 23201
1788599965,65, 23201
1788599975,67, 23201
1788599985,66, 23201
1788599995,68, 23201
1788600005,67, 23201
1788600015,66, 23201
1788600025,0, 23201
1788600035,0, 0
1788600045,0, 0
1788600055,0, 0
1788600065,0, 0
1788600075,0, 0
1788600086,0, 0
1788600096,0, 0
1788600106,45, 8903
1788600116,45, 8903
1788600126,45, 8903
1788600136,42, 8903
1788600146,44, 8903
1788600156,44, 8903
1788600166,44, 8903
1788600176,42, 8903
1788600186,0, 8903
1788600196,0, 0
1788600207,0, 0
1788600217,0, 0
