step,loss,logits_loss,aux_loss,lr
24600,1.6374,1.6374,0.0,6.42e-06
24700,1.5305,1.5305,0.0,6.39e-06
24800,1.5386,1.5386,0.0,6.37e-06
24900,1.7276,1.7276,0.0,6.35e-06
25000,1.5899,1.5899,0.0,6.32e-06
25100,1.6763,1.6763,0.0,6.3e-06
25200,1.4349,1.4349,0.0,6.27e-06
25300,1.6608,1.6608,0.0,6.25e-06
25400,1.5403,1.5403,0.0,6.22e-06
25500,1.7324,1.7324,0.0,6.2e-06
25600,1.7178,1.7178,0.0,6.17e-06
25700,1.5827,1.5827,0.0,6.15e-06
25800,1.5271,1.5271,0.0,6.12e-06
25900,1.7141,1.7141,0.0,6.1e-06
26000,1.7035,1.7035,0.0,6.07e-06
26100,1.6003,1.6003,0.0,6.05e-06
26200,1.7106,1.7106,0.0,6.02e-06
26300,1.5499,1.5499,0.0,6e-06
26400,1.3766,1.3766,0.0,5.97e-06
26500,1.5594,1.5594,0.0,5.95e-06
26600,1.6782,1.6782,0.0,5.92e-06
26700,1.6147,1.6147,0.0,5.9e-06
26800,1.4943,1.4943,0.0,5.88e-06
26900,1.6382,1.6382,0.0,5.85e-06
27000,1.5976,1.5976,0.0,5.83e-06
27100,1.4508,1.4508,0.0,5.8e-06
27200,1.7418,1.7418,0.0,5.78e-06
27300,1.4478,1.4478,0.0,5.75e-06
27400,1.4839,1.4839,0.0,5.73e-06
27500,1.7513,1.7513,0.0,5.7e-06
27600,1.4811,1.4811,0.0,5.68e-06
27700,1.6696,1.6696,0.0,5.65e-06
27800,1.6134,1.6134,0.0,5.63e-06
27900,1.5126,1.5126,0.0,5.6e-06
28000,1.5723,1.5723,0.0,5.58e-06
28100,1.3198,1.3198,0.0,5.55e-06
28200,1.5811,1.5811,0.0,5.53e-06
28300,1.6168,1.6168,0.0,5.5e-06
28400,1.5031,1.5031,0.0,5.48e-06
28500,1.6546,1.6546,0.0,5.45e-06
28600,1.5838,1.5838,0.0,5.43e-06
28700,1.575,1.575,0.0,5.4e-06
28800,1.5456,1.5456,0.0,5.38e-06
28900,1.5205,1.5205,0.0,5.35e-06
29000,1.6027,1.6027,0.0,5.33e-06
29100,1.6608,1.6608,0.0,5.3e-06
29200,1.6256,1.6256,0.0,5.28e-06
29300,1.6035,1.6035,0.0,5.25e-06
29400,1.5959,1.5959,0.0,5.23e-06
29500,1.5498,1.5498,0.0,5.2e-06
29600,1.599,1.599,0.0,5.18e-06
29700,1.5495,1.5495,0.0,5.15e-06
29800,1.4302,1.4302,0.0,5.13e-06
29900,1.6709,1.6709,0.0,5.1e-06
30000,1.6413,1.6413,0.0,5.08e-06
30100,1.4725,1.4725,0.0,5.05e-06
30200,1.5406,1.5406,0.0,5.03e-06
30300,1.6147,1.6147,0.0,5e-06
30400,1.6067,1.6067,0.0,4.98e-06
30500,1.4042,1.4042,0.0,4.95e-06
30600,1.3314,1.3314,0.0,4.93e-06
30700,1.6577,1.6577,0.0,4.9e-06
30800,1.35,1.35,0.0,4.88e-06
30900,1.6332,1.6332,0.0,4.85e-06
31000,1.6201,1.6201,0.0,4.83e-06
31100,1.5805,1.5805,0.0,4.8e-06
31200,1.6405,1.6405,0.0,4.78e-06
31300,1.6974,1.6974,0.0,4.76e-06
31400,1.5756,1.5756,0.0,4.73e-06
31500,1.7671,1.7671,0.0,4.71e-06
31600,1.6086,1.6086,0.0,4.68e-06
31700,1.4253,1.4253,0.0,4.66e-06
31800,1.4297,1.4297,0.0,4.63e-06
31900,1.6453,1.6453,0.0,4.61e-06
32000,1.6152,1.6152,0.0,4.58e-06
32100,1.4133,1.4133,0.0,4.56e-06
32200,1.6182,1.6182,0.0,4.53e-06
32300,1.7008,1.7008,0.0,4.51e-06
32400,1.6052,1.6052,0.0,4.49e-06
32500,1.5163,1.5163,0.0,4.46e-06
32600,1.6578,1.6578,0.0,4.44e-06
32700,1.758,1.758,0.0,4.41e-06
32800,1.5106,1.5106,0.0,4.39e-06
32900,1.6298,1.6298,0.0,4.36e-06
33000,1.6393,1.6393,0.0,4.34e-06
33100,1.417,1.417,0.0,4.32e-06
33200,1.5075,1.5075,0.0,4.29e-06
33300,1.5367,1.5367,0.0,4.27e-06
33400,1.3744,1.3744,0.0,4.24e-06
